link,description,category,comment
https://openai.com/index/harness-engineering/,OpenAI blog post detailing harness engineering techniques for building reliable AI systems.,AI Coding Assistants & Harnesses,Focuses on engineering practices to improve AI system reliability and robustness.
https://opencoworkai.github.io/open-codesign/,Open-source platform for collaborative design and co-creation projects.,UI/UX & Design Tools,"Enables open collaborative design, fostering community-driven creative workflows."
https://github.com/webmachinelearning/prompt-api,A proposal for a web API enabling prompting of browser-provided language models.,LLM APIs & Routing,"Standardizes browser-based LLM prompting, enhancing web AI integration."
https://github.com/nexu-io/open-design,"Local-first, open-source alternative to Anthropic's Claude Design for AI-driven prototyping.",UI/UX & Design Tools,Generative AI design system with multi-platform prototyping and sandboxed previews.
https://agentfield.ai/,AgentField is a platform for building and managing AI agents to automate tasks and workflows.,AI Agent Skills & Frameworks,Enables creation and deployment of AI agents for task automation and workflow management.
https://github.com/cocoindex-io/cocoindex,Incremental engine for long horizon AI agents enabling real-time data indexing and processing.,AI Agent Skills & Frameworks,Supports long-horizon agents with real-time incremental data and semantic search.
https://github.com/KeygraphHQ/shannon,Autonomous white-box AI pentester for web apps and APIs that finds and exploits vulnerabilities.,Security & Pentesting,AI-driven tool that analyzes code and executes real exploits to validate security flaws.
https://github.com/0xNyk/awesome-hermes-agent,"A curated list of skills, tools, integrations, and resources for Hermes Agent by Nous Research.",AI Agent Skills & Frameworks,Comprehensive resource hub for enhancing and extending Hermes AI agent capabilities.
https://bob.ibm.com/,IBM Bob – an internal IBM product or resource portal for employees or product info.,Miscellaneous / Other,"Internal IBM resource, likely supporting IBM workflows or product info."
https://aws.amazon.com/quick/,AWS Quick is a quick-start portal for launching and managing Amazon Web Services resources.,Developer Tools & CLI,"Simplifies AWS resource deployment, aiding developers in rapid cloud setup and management."
https://github.com/nex-crm/wuphf,WUPHF is a collaborative AI office that builds and maintains a shared knowledge base for tasks.,Memory & Context Management,Enables AI agents to retain and share task context via a persistent knowledge base.
https://ng-galien.github.io/maket/fr/,Maket – a French-language design and layout tool for creating project pages.,UI/UX & Design Tools,"A French design tool focused on project page layouts, aiding UI/UX creation."
https://github.com/openclaw/acpx,Headless CLI client for managing stateful Agent Client Protocol (ACP) sessions.,AI Agent Skills & Frameworks,Enables command-line interaction with stateful AI agent sessions via ACP protocol.
https://github.com/mnfst/manifest,Smart model routing for AI agents to cut costs up to 70% with open-source tools.,LLM APIs & Routing,Optimizes and routes LLM usage to reduce costs and improve efficiency for AI agents.
https://github.com/1st1/lat.md,"Agent Lattice: a knowledge graph for your codebase, written in markdown.",RAG & Knowledge Graphs,Enables building and querying codebase knowledge graphs using markdown for AI workflows.
https://github.com/mobydeck/atch,atch lets you attach and detach terminal sessions for better session management.,Developer Tools & CLI,"Simplifies terminal session management, useful for developers and AI workflows."
https://github.com/D4Vinci/Scrapling,An adaptive Python web scraping framework for tasks from single requests to full-scale crawls.,Web Scraping & Automation,"Highly starred framework enabling scalable, stealthy web scraping with AI-related features."
https://github.com/tashfeenahmed/freellmapi,OpenAI-compatible proxy aggregating free-tier AI keys from ~14 providers with failover.,LLM APIs & Routing,Aggregates multiple free AI keys with automatic failover for seamless API access.
https://github.com/mnfst/awesome-free-llm-apis,A curated list of permanent free LLM APIs with available API keys for easy access.,LLM APIs & Routing,Provides a valuable resource of free LLM APIs for developers building AI applications.
https://github.com/cheahjs/free-llm-api-resources,A curated list of free LLM inference APIs for easy access to various large language models.,LLM APIs & Routing,"Aggregates free API endpoints for multiple LLMs, simplifying AI model integration."
https://github.com/vercel-labs/deepsec,Deepsec is a security harness powered by coding agents to find vulnerabilities in codebases.,Security & Pentesting,Uses AI coding agents to automate vulnerability detection in codebases.
https://github.com/microsoft/VibeVoice,Open-source voice AI toolkit for advanced frontier voice applications and research.,Voice & Audio AI,Highly starred open-source project enabling cutting-edge voice AI development.
https://github.com/anthropics/financial-services,Anthropic financial services reference implementation using Claude in Python.,Finance & Trading,Showcases AI-powered financial services leveraging Claude for practical applications.
https://github.com/heygen-com/hyperframes,Write HTML and render videos with a TypeScript framework built for AI agents.,Video & Media Generation,Combines HTML rendering and video creation tailored for AI-driven animation workflows.
https://github.com/x-glacier/kali-pentest,Kali Linux pentesting skill for AI agents that autonomously plans and adapts attacks with human approval.,Security & Pentesting,Enables AI agents to autonomously execute and adapt penetration tests using Kali tools.
https://github.com/njbrake/agent-of-empires,"Manage multiple Claude Code, OpenCode, and other AI coding agents via TUI or Web with tmux.",AI Coding Assistants & Harnesses,Unified interface to manage diverse AI coding agents and CLIs for streamlined development.
https://github.com/santifer/career-ops,"AI-powered job search system with 14 skill modes, Go dashboard, PDF generation, batch processing.",AI Agent Skills & Frameworks,Integrates Claude Code for AI-driven job search and interview prep automation.
https://www.corgi.insure/,Corgi Insure is a website offering insurance products and services.,Finance & Trading,Insurance product platform relevant to financial services and risk management.
https://github.com/VectifyAI/PageIndex,"PageIndex: Document Index for Vectorless, Reasoning-based Retrieval-Augmented Generation.",RAG & Knowledge Graphs,"Enables reasoning-based RAG without vectors, enhancing document retrieval methods."
https://github.com/alibaba/zvec,"A lightweight, lightning-fast, in-process vector database for semantic and similarity search.",Databases & Vector Stores,Efficient embedded vector DB enabling fast semantic search and LLM memory integration.
https://getdesign.md,GetDesign.md – a resource hub offering design tools and assets for creatives.,UI/UX & Design Tools,Provides valuable design resources aiding creative workflows and UI/UX projects.
https://github.com/HelixDB/helix-db,HelixDB is an open-source graph-vector database built from scratch in Rust.,Databases & Vector Stores,"Combines graph and vector DB features, optimized for AI vector search in Rust."
https://github.com/VoltAgent/awesome-design-md,A collection of DESIGN.md files inspired by brand design systems to auto-generate matching UIs.,UI/UX & Design Tools,Enables coding agents to create UIs by leveraging design system markdown files.
https://github.com/microsoft/qlib,"AI-driven quant investment platform for research, modeling, and automated R&D in finance.",Finance & Trading,Empowers quantitative finance research with diverse AI models and automated R&D workflows.
https://github.com/alexpasmantier/television,"A very fast, portable, and hackable fuzzy finder for the terminal written in Rust.",Developer Tools & CLI,"Efficient fuzzy search tool enhancing CLI workflows, useful for AI data and code navigation."
https://github.com/mvanhorn/cli-printing-press,"A GOAT CLI tool for AI agents with SQLite sync, offline search, and compound insight commands.",Developer Tools & CLI,"AI-first CLI integrating features from multiple tools, optimized for AI agent workflows."
https://github.com/rtk-ai/rtk,CLI proxy that cuts LLM token use by 60-90% on dev commands with a single Rust binary.,Developer Tools & CLI,Significantly reduces LLM token costs for developer CLI workflows using Rust.
https://ai4trade.ai/,AI4Trade is an AI-powered platform offering advanced tools for trading and market analysis.,Finance & Trading,Leverages AI to enhance trading strategies and market decision-making.
https://github.com/decolua/9router,"Unlimited free AI coding with multi-provider LLM routing, auto-fallback, and token saving.",LLM APIs & Routing,Enables seamless multi-LLM integration with fallback and token optimization for coding AI.
https://github.com/romainsimon/paperasse,French AI agent skills specialized in bureaucratic tasks like accounting and notary work.,AI Agent Skills & Frameworks,Provides specialized AI skills for French bureaucratic workflows and professions.
